img,title,link
http://www.zdnet.co.kr/images/default.png,바이두 삼성 파운드리로 AI 칩 만든다..내년 양산,http://www.zdnet.co.kr/view/?no=20191218090226
http://www.zdnet.co.kr/images/default.png,"“AI 강국으로 도약, 어렵지만 가능한 목표”",http://www.zdnet.co.kr/view/?no=20191217180840
http://www.zdnet.co.kr/images/default.png,"AWS, NFL과 선수 헬스케어 파트너십 체결",http://www.zdnet.co.kr/view/?no=20191217184130
http://www.zdnet.co.kr/images/default.png,"""블록체인, 로봇이 지배하는 세상 막을 대안""",http://www.zdnet.co.kr/view/?no=20191217163229
http://www.zdnet.co.kr/images/default.png,"""4차산업혁명 핵심 과제...인재 양성과 일자리 창출""",http://www.zdnet.co.kr/view/?no=20191217154621
http://www.zdnet.co.kr/images/default.png,"AI 국가전략 실행, 대통령이 직접 챙긴다",http://www.zdnet.co.kr/view/?no=20191217150923
http://www.zdnet.co.kr/images/default.png,AI 국가 전략 핵심은 '활용'…인재 키우고 부작용 줄인다,http://www.zdnet.co.kr/view/?no=20191217133355
http://www.zdnet.co.kr/images/default.png,씨엔티테크가 꼽은 2020 스타트업 트렌드 '이것',http://www.zdnet.co.kr/view/?no=20191217143643
http://www.zdnet.co.kr/images/default.png,"인텔, 이스라엘 AI 칩 제조사 '하바나랩스' 인수",http://www.zdnet.co.kr/view/?no=20191217010442
http://www.zdnet.co.kr/images/default.png,AI 국가전략 왜 만들었나…“미래세대 운명 좌우”,http://www.zdnet.co.kr/view/?no=20191217120040
http://www.zdnet.co.kr/images/default.png,“AI로 455조 경제 창출”…'AI 국가전략' 확정,http://www.zdnet.co.kr/view/?no=20191217104605
http://www.zdnet.co.kr/images/default.png,생활 데이터 자유롭게 거래하는 시대 열렸다,http://www.zdnet.co.kr/view/?no=20191217094346
http://www.zdnet.co.kr/images/default.png,"마이다스아이티 ""해군도 AI로 역량 검사""",http://www.zdnet.co.kr/view/?no=20191216170602
http://www.zdnet.co.kr/images/default.png,"IBM, AI 기반 기상예측 시스템 서비스 본격화",http://www.zdnet.co.kr/view/?no=20191216163424
http://www.zdnet.co.kr/images/default.png,AI와 교육의 융합...맞춤 교육 시대 온다,http://www.zdnet.co.kr/view/?no=20191216142607
http://www.zdnet.co.kr/images/default.png,"뤼이드, AI 서밋 뉴욕서 교육 AI 비전 제시",http://www.zdnet.co.kr/view/?no=20191216144956
http://www.zdnet.co.kr/images/default.png,권오정 KTR 원장 “시험인증도 R&D 단계부터 참여해 기여해야”,http://www.zdnet.co.kr/view/?no=20191216111724
http://image.zdnet.co.kr/2019/12/13/pym_mORNhX5uG0dN5llZ.jpg,3년 뒤 17兆 시장…'AI 머신비전' 기업의 노하우는?,http://www.zdnet.co.kr/view/?no=20191213123239
http://image.zdnet.co.kr/2019/12/13/firstblood_8VFm4jIYS.jpg,"델 테크놀로지스, 슈퍼컴퓨팅·AI 전용 신규 솔루션 발표",http://www.zdnet.co.kr/view/?no=20191213115401
http://www.zdnet.co.kr/images/default.png,"CJ올리브네트웍스, 전사 임직원 AI교육 운영 결과 공개",http://www.zdnet.co.kr/view/?no=20191212150511
http://www.zdnet.co.kr/images/default.png,AI 기술로 레고 블록 자동으로 분류한다,http://www.zdnet.co.kr/view/?no=20191212103442
http://www.zdnet.co.kr/images/default.png,"구글, AI가 선별한 유익한 기사 상단에 먼저 표출",http://www.zdnet.co.kr/view/?no=20191212095140
http://www.zdnet.co.kr/images/default.png,"삼성전기, AI 기술로 '1천억원' 아낀다",http://www.zdnet.co.kr/view/?no=20191212091448
http://www.zdnet.co.kr/images/default.png,"내년 ICT 부처 예산, AI·소부장 중심으로 확대",http://www.zdnet.co.kr/view/?no=20191211150537
http://www.zdnet.co.kr/images/default.png,"찾아가는 복지 서비스, ICT로 실현한다",http://www.zdnet.co.kr/view/?no=20191210172023
http://www.zdnet.co.kr/images/default.png,"LG전자, 구글·페북 모인 AI 서밋서 '씽큐' 알린다",http://www.zdnet.co.kr/view/?no=20191211085835
http://www.zdnet.co.kr/images/default.png,"알리바바 클라우드, 국내 중소기업 아시아 진출 지원",http://www.zdnet.co.kr/view/?no=20191210174225
http://www.zdnet.co.kr/images/default.png,"화웨이, 폰·태블릿·PC 외 모든 제품에 '훙멍OS' 적용",http://www.zdnet.co.kr/view/?no=20191210091152
http://www.zdnet.co.kr/images/default.png,[영상] LG 올레드 TV B9…“4K?돌비 비전에 AI 탑재”,http://www.zdnet.co.kr/view/?no=20191203171641
http://www.zdnet.co.kr/images/default.png,기업 AI 활용 가속도 붙는다,http://www.zdnet.co.kr/view/?no=20191209163318
http://www.zdnet.co.kr/images/default.png,"“AI 특허, 데이터 처리 컴퓨터상서 이뤄진다는 점 명확해야”",http://www.zdnet.co.kr/view/?no=20191209144407
http://www.zdnet.co.kr/images/default.png,내년 국가정보화 예산 5.2兆...25%는 AI 적용,http://www.zdnet.co.kr/view/?no=20191209103149
http://www.zdnet.co.kr/images/default.png,"세종텔레콤-셀바스AI, 'AI 비즈니스 활성화' MOU",http://www.zdnet.co.kr/view/?no=20191209102906
http://www.zdnet.co.kr/images/default.png,한국인공지능교육학회 창립총회 개최,http://www.zdnet.co.kr/view/?no=20191209102251
http://www.zdnet.co.kr/images/default.png,"MS, AI 신뢰 위해 블록체인 적용",http://www.zdnet.co.kr/view/?no=20191209074240
http://www.zdnet.co.kr/images/default.png,中 AI 특허 신청 1위 바이두...삼성은 6위,http://www.zdnet.co.kr/view/?no=20191206085414
http://www.zdnet.co.kr/images/default.png,"MS, 시각장애인 보조 앱 지원 언어 확대",http://www.zdnet.co.kr/view/?no=20191205094403
